name,identifier,game_dim_a,game_dim_b,game_dim_c,game_source,fleetyards_length,fleetyards_beam,fleetyards_height,fleetyards_source,page_length,page_length_note,model_bbox_extent,model_bbox_note,conflict,gap
P-72 Archimedes,KRIG_P72_Archimedes,12,7.75,3.25,LOADOUT_SHIPS dim (game data),12,7.7,2,sc-ships/index.json (Fleetyards),12,"identical to game dim[0] - same source, not a second one",8.223 x 2.288 x 12.243,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure",,
P-72 Archimedes Emerald,KRIG_P72_Archimedes_Emerald,12,7.75,3.25,LOADOUT_SHIPS dim (game data),12,7.7,2,sc-ships/index.json (Fleetyards),12,"identical to game dim[0] - same source, not a second one",8.223 x 2.288 x 12.243,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure",,
PTV,GRIN_PTV,3.5,2.5,2.2,LOADOUT_SHIPS dim (game data),32.2,2.1,1.8,sc-ships/index.json (Fleetyards),3.5,"identical to game dim[0] - same source, not a second one",3.0 x 1.689 x 2.004,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure","length: game data 3.5 vs Fleetyards 32.2 - recorded, not resolved",
Paladin,ANVL_Paladin,53.5,38,15.5,LOADOUT_SHIPS dim (game data),53,37.5,13.6,sc-ships/index.json (Fleetyards),53.5,"identical to game dim[0] - same source, not a second one",37.441 x 13.203 x 53.509,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure","length: game data 53.5 vs Fleetyards 53 - recorded, not resolved",
Perseus,RSI_Perseus,100,50,25,LOADOUT_SHIPS dim (game data),100.5,42.2,22.3,sc-ships/index.json (Fleetyards),100,"identical to game dim[0] - same source, not a second one",56.761 x 21.788 x 100.525,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure","length: game data 100 vs Fleetyards 100.5 - recorded, not resolved",
Pioneer,(none),,,,,247,133,53,sc-ships/index.json (Fleetyards),,,,,,
Pitbull,DRAK_Pitbull,6,6,3,LOADOUT_SHIPS dim (game data),,,,,6,"identical to game dim[0] - same source, not a second one",5.813 x 2.557 x 5.9,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure",,
Polaris,RSI_Polaris,181,87,40,LOADOUT_SHIPS dim (game data),166,82,35,sc-ships/index.json (Fleetyards),181,"identical to game dim[0] - same source, not a second one",85.981 x 41.934 x 166.0,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure","length: game data 181 vs Fleetyards 166 - recorded, not resolved",
Prospector,MISC_Prospector,26.5,16.5,8,LOADOUT_SHIPS dim (game data),24,15,7,sc-ships/index.json (Fleetyards),26.5,"identical to game dim[0] - same source, not a second one",15.08 x 6.789 x 23.694,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure","length: game data 26.5 vs Fleetyards 24 - recorded, not resolved",
Prowler,ESPR_Prowler,34,32,15,LOADOUT_SHIPS dim (game data),34,32,15,sc-ships/index.json (Fleetyards),34,"identical to game dim[0] - same source, not a second one",27.238 x 13.339 x 33.209,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure",,
Prowler Utility,ESPR_Prowler_Utility,34,32,15,LOADOUT_SHIPS dim (game data),34,32,15,sc-ships/index.json (Fleetyards),34,"identical to game dim[0] - same source, not a second one",26.802 x 13.326 x 33.208,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure",,
Pulse,MRAI_Pulse,3.5,2.5,1.5,LOADOUT_SHIPS dim (game data),3.1,0.9,1,sc-ships/index.json (Fleetyards),3.5,"identical to game dim[0] - same source, not a second one",0.794 x 0.888 x 2.747,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure","length: game data 3.5 vs Fleetyards 3.1 - recorded, not resolved",
Pulse LX,MRAI_Pulse_LX,3.5,2.5,1.5,LOADOUT_SHIPS dim (game data),3.1,0.9,1,sc-ships/index.json (Fleetyards),3.5,"identical to game dim[0] - same source, not a second one",0.794 x 0.888 x 2.747,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure","length: game data 3.5 vs Fleetyards 3.1 - recorded, not resolved",
RAFT,ARGO_RAFT,39.5,23,12,LOADOUT_SHIPS dim (game data),39.5,23,12,sc-ships/index.json (Fleetyards),39.5,"identical to game dim[0] - same source, not a second one",23.632 x 11.794 x 40.401,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure",,
RAPTOR,(none),,,,,,,,,,,,,,NO DIMENSION FROM ANY SOURCE - phase two
ROC,GRIN_ROC,6,3.9,3.5,LOADOUT_SHIPS dim (game data),5.1,3.8,3.1,sc-ships/index.json (Fleetyards),6,"identical to game dim[0] - same source, not a second one",3.758 x 3.175 x 7.531,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure","length: game data 6 vs Fleetyards 5.1 - recorded, not resolved",
ROC-DS,GRIN_ROC_DS,6.6,5,3.5,LOADOUT_SHIPS dim (game data),6.6,5,3.3,sc-ships/index.json (Fleetyards),6.6,"identical to game dim[0] - same source, not a second one",4.83 x 3.393 x 6.519,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure",,
Railen,GAMA_Railen,67,53,52,LOADOUT_SHIPS dim (game data),53,52,67,sc-ships/index.json (Fleetyards),67,"identical to game dim[0] - same source, not a second one",52.077 x 68.382 x 54.08,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure","length: game data 67 vs Fleetyards 53 - recorded, not resolved",
Ranger CV,(none),,,,,3.7,2,2,sc-ships/index.json (Fleetyards),,,,,,
Ranger RC,(none),,,,,3.7,2,2,sc-ships/index.json (Fleetyards),,,,,,
Ranger TR,(none),,,,,3.7,2,2,sc-ships/index.json (Fleetyards),,,,,,
Razor,MISC_Razor,12.5,9,3,LOADOUT_SHIPS dim (game data),11.5,8.2,2.7,sc-ships/index.json (Fleetyards),12.5,"identical to game dim[0] - same source, not a second one",7.931 x 2.261 x 11.456,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure","length: game data 12.5 vs Fleetyards 11.5 - recorded, not resolved",
Razor EX,MISC_Razor_EX,12.5,9,3,LOADOUT_SHIPS dim (game data),11.5,8.2,2.7,sc-ships/index.json (Fleetyards),12.5,"identical to game dim[0] - same source, not a second one",7.931 x 2.29 x 11.456,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure","length: game data 12.5 vs Fleetyards 11.5 - recorded, not resolved",
Razor LX,MISC_Razor_LX,12.5,9,3,LOADOUT_SHIPS dim (game data),11.5,8.2,2.7,sc-ships/index.json (Fleetyards),12.5,"identical to game dim[0] - same source, not a second one",7.931 x 2.384 x 11.456,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure","length: game data 12.5 vs Fleetyards 11.5 - recorded, not resolved",
Reclaimer,AEGS_Reclaimer,160,120,55,LOADOUT_SHIPS dim (game data),155,118,50,sc-ships/index.json (Fleetyards),160,"identical to game dim[0] - same source, not a second one",94.812 x 49.908 x 158.135,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure","length: game data 160 vs Fleetyards 155 - recorded, not resolved",
Redeemer,AEGS_Redeemer,51,25,14,LOADOUT_SHIPS dim (game data),51,23.5,14,sc-ships/index.json (Fleetyards),51,"identical to game dim[0] - same source, not a second one",23.481 x 13.315 x 50.691,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure",,
Reliant Kore,MISC_Reliant,28.5,14.75,4.5,LOADOUT_SHIPS dim (game data),14.5,28.5,4,sc-ships/index.json (Fleetyards),28.5,"identical to game dim[0] - same source, not a second one",11.103 x 29.429 x 15.428,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure","length: game data 28.5 vs Fleetyards 14.5 - recorded, not resolved",
Reliant Mako,MISC_Reliant_Mako,28.5,14.75,4.5,LOADOUT_SHIPS dim (game data),14.5,28.5,4,sc-ships/index.json (Fleetyards),28.5,"identical to game dim[0] - same source, not a second one",29.434 x 5.116 x 15.416,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure","length: game data 28.5 vs Fleetyards 14.5 - recorded, not resolved",
Reliant Sen,MISC_Reliant_Sen,28.5,14.75,4.5,LOADOUT_SHIPS dim (game data),14.5,28.5,4,sc-ships/index.json (Fleetyards),28.5,"identical to game dim[0] - same source, not a second one",29.521 x 5.179 x 15.376,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure","length: game data 28.5 vs Fleetyards 14.5 - recorded, not resolved",
Reliant Tana,MISC_Reliant_Tana,28.5,14.75,4.5,LOADOUT_SHIPS dim (game data),14.5,28.5,4,sc-ships/index.json (Fleetyards),28.5,"identical to game dim[0] - same source, not a second one",30.559 x 5.26 x 13.683,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure","length: game data 28.5 vs Fleetyards 14.5 - recorded, not resolved",
Retaliator,AEGS_Retaliator,70.5,44,13.5,LOADOUT_SHIPS dim (game data),71,30,9.5,sc-ships/index.json (Fleetyards),70.5,"identical to game dim[0] - same source, not a second one",42.487 x 12.261 x 69.671,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure","length: game data 70.5 vs Fleetyards 71 - recorded, not resolved",
SRV,ARGO_SRV,31.5,21.5,9.5,LOADOUT_SHIPS dim (game data),28.5,19.5,9,sc-ships/index.json (Fleetyards),31.5,"identical to game dim[0] - same source, not a second one",19.232 x 6.907 x 27.597,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure","length: game data 31.5 vs Fleetyards 28.5 - recorded, not resolved",
STV,GRIN_STV,8.75,6,3.5,LOADOUT_SHIPS dim (game data),4.2,2.8,2,sc-ships/index.json (Fleetyards),8.75,"identical to game dim[0] - same source, not a second one",2.748 x 1.99 x 4.215,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure","length: game data 8.75 vs Fleetyards 4.2 - recorded, not resolved",
Sabre,AEGS_Sabre,24.5,24.5,5,LOADOUT_SHIPS dim (game data),26,24,5,sc-ships/index.json (Fleetyards),24.5,"identical to game dim[0] - same source, not a second one",23.382 x 4.32 x 23.881,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure","length: game data 24.5 vs Fleetyards 26 - recorded, not resolved",
Sabre Comet,AEGS_Sabre_Comet,24.5,24.5,5,LOADOUT_SHIPS dim (game data),24,26,5,sc-ships/index.json (Fleetyards),24.5,"identical to game dim[0] - same source, not a second one",23.382 x 4.32 x 23.881,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure","length: game data 24.5 vs Fleetyards 24 - recorded, not resolved",
Sabre Firebird,AEGS_Sabre_Firebird,24.5,24.5,5,LOADOUT_SHIPS dim (game data),26,30,3.8,sc-ships/index.json (Fleetyards),24.5,"identical to game dim[0] - same source, not a second one",19.945 x 2.966 x 23.617,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure","length: game data 24.5 vs Fleetyards 26 - recorded, not resolved",
Sabre Peregrine,AEGS_Sabre_Peregrine,24.5,24.5,5,LOADOUT_SHIPS dim (game data),26,24,5,sc-ships/index.json (Fleetyards),24.5,"identical to game dim[0] - same source, not a second one",19.949 x 2.973 x 23.62,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure","length: game data 24.5 vs Fleetyards 26 - recorded, not resolved",
Sabre Raven,AEGS_Sabre_Raven,24.5,24.5,5,LOADOUT_SHIPS dim (game data),24,20.5,5,sc-ships/index.json (Fleetyards),24.5,"identical to game dim[0] - same source, not a second one",19.609 x 6.913 x 23.577,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure","length: game data 24.5 vs Fleetyards 24 - recorded, not resolved",
Salvation,RSI_Salvation,14.5,8.5,4,LOADOUT_SHIPS dim (game data),14.5,8.5,4,sc-ships/index.json (Fleetyards),14.5,"identical to game dim[0] - same source, not a second one",8.349 x 3.599 x 12.938,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure",,
San'tok.yai,XNAA_SanTokYai,24,23,23,LOADOUT_SHIPS dim (game data),,,,,24,"identical to game dim[0] - same source, not a second one",24.0 x 23.278 x 22.092,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure",,
Scorpius,RSI_Scorpius,32,24,13,LOADOUT_SHIPS dim (game data),24,32,13,sc-ships/index.json (Fleetyards),32,"identical to game dim[0] - same source, not a second one",32.633 x 12.902 x 24.43,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure","length: game data 32 vs Fleetyards 24 - recorded, not resolved",
Scorpius Antares,RSI_Scorpius_Antares,32,24,13,LOADOUT_SHIPS dim (game data),24,32,13,sc-ships/index.json (Fleetyards),32,"identical to game dim[0] - same source, not a second one",32.633 x 12.902 x 24.43,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure","length: game data 32 vs Fleetyards 24 - recorded, not resolved",
Scythe,VNCL_Scythe,33,24,9,LOADOUT_SHIPS dim (game data),31,23,8.5,sc-ships/index.json (Fleetyards),33,"identical to game dim[0] - same source, not a second one",16.988 x 8.41 x 30.752,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure","length: game data 33 vs Fleetyards 31 - recorded, not resolved",
Shiv,GLSN_Shiv,37.5,26.5,11.5,LOADOUT_SHIPS dim (game data),36,28,14,sc-ships/index.json (Fleetyards),37.5,"identical to game dim[0] - same source, not a second one",27.74 x 9.482 x 35.732,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure","length: game data 37.5 vs Fleetyards 36 - recorded, not resolved",
Spartan,ANVL_Spartan,17,7,5.5,LOADOUT_SHIPS dim (game data),17,7,5.5,sc-ships/index.json (Fleetyards),17,"identical to game dim[0] - same source, not a second one",6.44 x 4.681 x 16.663,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure",,
Starfarer,MISC_Starfarer,102,48.5,24.5,LOADOUT_SHIPS dim (game data),101,46.5,23.5,sc-ships/index.json (Fleetyards),102,"identical to game dim[0] - same source, not a second one",46.735 x 22.425 x 101.132,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure","length: game data 102 vs Fleetyards 101 - recorded, not resolved",
Starfarer Gemini,MISC_Starfarer_Gemini,102,48.5,24.5,LOADOUT_SHIPS dim (game data),101,46.5,23.5,sc-ships/index.json (Fleetyards),102,"identical to game dim[0] - same source, not a second one",41.642 x 28.131 x 92.27,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure","length: game data 102 vs Fleetyards 101 - recorded, not resolved",
Starlancer BLD,(none),,,,,,,,,,,,,,NO DIMENSION FROM ANY SOURCE - phase two
Starlancer MAX,MISC_Starlancer_Max,90,60,20,LOADOUT_SHIPS dim (game data),83,52,16,sc-ships/index.json (Fleetyards),90,"identical to game dim[0] - same source, not a second one",42.96 x 12.29 x 83.0,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure","length: game data 90 vs Fleetyards 83 - recorded, not resolved",
Starlancer TAC,MISC_Starlancer_TAC,90,60,20,LOADOUT_SHIPS dim (game data),83,52,16,sc-ships/index.json (Fleetyards),90,"identical to game dim[0] - same source, not a second one",52.114 x 16.088 x 83.0,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure","length: game data 90 vs Fleetyards 83 - recorded, not resolved",
Starlite,MISC_Starlite,32,19.9,9.07,LOADOUT_SHIPS dim (game data),,,,,32,"identical to game dim[0] - same source, not a second one",32.0 x 8.702 x 20.031,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure",,
Stinger,VNCL_Stinger,36,32,11,LOADOUT_SHIPS dim (game data),32,35,10,sc-ships/index.json (Fleetyards),36,"identical to game dim[0] - same source, not a second one",31.336 x 9.853 x 34.623,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure","length: game data 36 vs Fleetyards 32 - recorded, not resolved",
Storm,TMBL_Storm,10.25,7.65,4,LOADOUT_SHIPS dim (game data),10.5,7.5,3.6,sc-ships/index.json (Fleetyards),10.25,"identical to game dim[0] - same source, not a second one",7.491 x 3.559 x 10.203,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure","length: game data 10.25 vs Fleetyards 10.5 - recorded, not resolved",
Storm AA,TMBL_Storm_AA,10.25,7.65,4,LOADOUT_SHIPS dim (game data),10.5,7.5,3.6,sc-ships/index.json (Fleetyards),10.25,"identical to game dim[0] - same source, not a second one",7.49 x 3.686 x 10.199,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure","length: game data 10.25 vs Fleetyards 10.5 - recorded, not resolved",
Syulen,GAMA_Syulen,28,25,16,LOADOUT_SHIPS dim (game data),25,28,16,sc-ships/index.json (Fleetyards),28,"identical to game dim[0] - same source, not a second one",22.615 x 15.8 x 19.921,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure","length: game data 28 vs Fleetyards 25 - recorded, not resolved",
Talon,ESPR_Talon,24,15,8,LOADOUT_SHIPS dim (game data),26,23.5,8.6,sc-ships/index.json (Fleetyards),24,"identical to game dim[0] - same source, not a second one",19.338 x 5.042 x 23.468,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure","length: game data 24 vs Fleetyards 26 - recorded, not resolved",
Talon Shrike,ESPR_Talon_Shrike,24,15,8,LOADOUT_SHIPS dim (game data),26,23.5,8.6,sc-ships/index.json (Fleetyards),24,"identical to game dim[0] - same source, not a second one",19.338 x 5.042 x 23.468,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure","length: game data 24 vs Fleetyards 26 - recorded, not resolved",
Terrapin,ANVL_Terrapin,20,16.5,7.5,LOADOUT_SHIPS dim (game data),19.5,14.5,6,sc-ships/index.json (Fleetyards),20,"identical to game dim[0] - same source, not a second one",15.311 x 6.948 x 19.696,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure","length: game data 20 vs Fleetyards 19.5 - recorded, not resolved",
Terrapin Medic,ANVL_Terrapin_Medic,20,16.5,7.5,LOADOUT_SHIPS dim (game data),19.5,16.7,6,sc-ships/index.json (Fleetyards),20,"identical to game dim[0] - same source, not a second one",16.404 x 6.945 x 19.703,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure","length: game data 20 vs Fleetyards 19.5 - recorded, not resolved",
Tiburon,AEGS_Tiburon,121,68,20,LOADOUT_SHIPS dim (game data),,,,,121,"identical to game dim[0] - same source, not a second one",121.0 x 20.03 x 68.045,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure",,
Tyilui,GAMA_Tyilui,67.25,58.75,52,LOADOUT_SHIPS dim (game data),,,,,67.25,"identical to game dim[0] - same source, not a second one",60.033 x 69.0 x 52.772,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure",,
UTV,GRIN_UTV,4,2.6,2.5,LOADOUT_SHIPS dim (game data),,,,,4,"identical to game dim[0] - same source, not a second one",4.0 x 2.235 x 2.628,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure",,
Ursa,RSI_Ursa_Rover,8.75,6,3.5,LOADOUT_SHIPS dim (game data),7.6,5.5,2.2,sc-ships/index.json (Fleetyards),8.75,"identical to game dim[0] - same source, not a second one",5.497 x 3.232 x 7.612,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure","length: game data 8.75 vs Fleetyards 7.6 - recorded, not resolved",
Ursa Fortuna,RSI_Ursa_Rover_Emerald,8.75,6,3.5,LOADOUT_SHIPS dim (game data),7.6,5.5,2.2,sc-ships/index.json (Fleetyards),8.75,"identical to game dim[0] - same source, not a second one",5.497 x 3.232 x 7.612,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure","length: game data 8.75 vs Fleetyards 7.6 - recorded, not resolved",
Ursa Medivac,RSI_Ursa_Medivac,8.75,6,3.5,LOADOUT_SHIPS dim (game data),8,5.5,3.2,sc-ships/index.json (Fleetyards),8.75,"identical to game dim[0] - same source, not a second one",5.497 x 3.232 x 7.607,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure","length: game data 8.75 vs Fleetyards 8 - recorded, not resolved",
Valkyrie,ANVL_Valkyrie,48,38,12,LOADOUT_SHIPS dim (game data),46.5,15,10.5,sc-ships/index.json (Fleetyards),48,"identical to game dim[0] - same source, not a second one",34.842 x 10.635 x 45.586,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure","length: game data 48 vs Fleetyards 46.5 - recorded, not resolved",
Vanguard Harbinger,AEGS_Vanguard_Harbinger,48,40,9.5,LOADOUT_SHIPS dim (game data),38.5,40,8,sc-ships/index.json (Fleetyards),48,"identical to game dim[0] - same source, not a second one",37.958 x 8.123 x 40.678,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure","length: game data 48 vs Fleetyards 38.5 - recorded, not resolved",
Vanguard Hoplite,AEGS_Vanguard_Hoplite,48,40,9.5,LOADOUT_SHIPS dim (game data),38.5,40,8.5,sc-ships/index.json (Fleetyards),48,"identical to game dim[0] - same source, not a second one",37.943 x 9.269 x 38.94,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure","length: game data 48 vs Fleetyards 38.5 - recorded, not resolved",
Vanguard Sentinel,AEGS_Vanguard_Sentinel,48,40,9.5,LOADOUT_SHIPS dim (game data),38.5,40,8.5,sc-ships/index.json (Fleetyards),48,"identical to game dim[0] - same source, not a second one",37.959 x 8.061 x 40.455,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure","length: game data 48 vs Fleetyards 38.5 - recorded, not resolved",
Vanguard Warden,AEGS_Vanguard,48,40,9.5,LOADOUT_SHIPS dim (game data),38.5,40,8.5,sc-ships/index.json (Fleetyards),48,"identical to game dim[0] - same source, not a second one",39.056 x 8.63 x 38.402,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure","length: game data 48 vs Fleetyards 38.5 - recorded, not resolved",
Vulcan,(none),,,,,38.5,16.5,10,sc-ships/index.json (Fleetyards),,,,,,
Vulture,DRAK_Vulture,34,16,9,LOADOUT_SHIPS dim (game data),33,16,9,sc-ships/index.json (Fleetyards),34,"identical to game dim[0] - same source, not a second one",15.812 x 8.712 x 33.0,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure","length: game data 34 vs Fleetyards 33 - recorded, not resolved",
X1,ORIG_X1,5.19,1.87,1.55,LOADOUT_SHIPS dim (game data),5.5,1.3,1.5,sc-ships/index.json (Fleetyards),5.19,"identical to game dim[0] - same source, not a second one",1.244 x 1.543 x 5.287,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure","length: game data 5.19 vs Fleetyards 5.5 - recorded, not resolved",
X1 Force,ORIG_X1_Force,5.19,1.87,1.55,LOADOUT_SHIPS dim (game data),5.5,1.3,1.5,sc-ships/index.json (Fleetyards),5.19,"identical to game dim[0] - same source, not a second one",1.244 x 1.543 x 5.287,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure","length: game data 5.19 vs Fleetyards 5.5 - recorded, not resolved",
X1 Velocity,ORIG_X1_Velocity,5.19,1.87,1.55,LOADOUT_SHIPS dim (game data),5.5,1.3,1.5,sc-ships/index.json (Fleetyards),5.19,"identical to game dim[0] - same source, not a second one",1.244 x 1.543 x 5.145,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure","length: game data 5.19 vs Fleetyards 5.5 - recorded, not resolved",
Zeus Mk II CL,RSI_Zeus_CL,46,35,9,LOADOUT_SHIPS dim (game data),45.7,34.3,7,sc-ships/index.json (Fleetyards),46,"identical to game dim[0] - same source, not a second one",34.313 x 6.997 x 45.691,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure","length: game data 46 vs Fleetyards 45.7 - recorded, not resolved",
Zeus Mk II ES,RSI_Zeus_ES,46,35,9,LOADOUT_SHIPS dim (game data),45.7,34.3,7,sc-ships/index.json (Fleetyards),46,"identical to game dim[0] - same source, not a second one",34.312 x 7.523 x 45.705,"CALCULATED from the file, world space X x Y x Z; axes NOT labelled; NOT an independent source where the project rescaled the model to a game figure","length: game data 46 vs Fleetyards 45.7 - recorded, not resolved",
Zeus Mk II MR,(none),,,,,45.7,34.3,8,sc-ships/index.json (Fleetyards),,,,,,
